image_id,visual_path,attention_candidate_count,attention_repeatability_f1,attention_plant_hit_ratio,local_candidate_count,local_repeatability_f1,reviewer_a_structure_related_0_or_1,reviewer_a_coverage_low_medium_high,reviewer_a_dominant_region,reviewer_a_note,reviewer_b_structure_related_0_or_1,reviewer_b_coverage_low_medium_high,reviewer_b_dominant_region,reviewer_b_note
akd_0030,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0030_518_last4avg.jpg,5,0.6402777777777777,1.0,30,0.6631027593695696,,,,,,,,
akd_0050,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0050_518_last4avg.jpg,2,0.875,0.5,18,0.6727152990168883,,,,,,,,
akd_0060,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0060_518_last4avg.jpg,4,0.5936507936507937,0.75,20,0.7466383509350043,,,,,,,,
akd_0079,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0079_518_last4avg.jpg,5,0.7847222222222221,1.0,12,0.7560889355742297,,,,,,,,
akd_0088,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0088_518_last4avg.jpg,4,0.589781746031746,1.0,30,0.7286016949152543,,,,,,,,
akd_0094,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0094_518_last4avg.jpg,3,0.6369047619047619,1.0,18,0.7994205030969737,,,,,,,,
akd_0098,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0098_518_last4avg.jpg,4,0.7648809523809523,1.0,16,0.6623230871295887,,,,,,,,
akd_0099,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0099_518_last4avg.jpg,5,0.7237373737373737,1.0,29,0.6313944530046225,,,,,,,,
akd_0102,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0102_518_last4avg.jpg,2,0.9083333333333333,0.5,18,0.8006790727378963,,,,,,,,
akd_0106,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0106_518_last4avg.jpg,3,0.9214285714285715,0.6666666666666666,23,0.7441560122072544,,,,,,,,
akd_0112,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0112_518_last4avg.jpg,3,0.8273809523809523,1.0,30,0.6142241379310345,,,,,,,,
akd_0119,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0119_518_last4avg.jpg,5,0.7173611111111111,0.6,30,0.6666666666666667,,,,,,,,
akd_0125,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0125_518_last4avg.jpg,3,0.7595238095238096,1.0,30,0.7096751412429378,,,,,,,,
akd_0155,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0155_518_last4avg.jpg,4,0.783234126984127,1.0,19,0.7974317841075031,,,,,,,,
akd_0174,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0174_518_last4avg.jpg,3,0.6532738095238095,1.0,19,0.7595828266340903,,,,,,,,
akd_0203,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0203_518_last4avg.jpg,4,0.831845238095238,1.0,13,0.66741970991971,,,,,,,,
akd_0214,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0214_518_last4avg.jpg,3,0.6354166666666666,1.0,11,0.8151963406540066,,,,,,,,
akd_0219,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0219_518_last4avg.jpg,4,0.7395833333333333,1.0,18,0.7104553775939131,,,,,,,,
akd_0248,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0248_518_last4avg.jpg,5,0.548611111111111,0.8,22,0.7342346713335159,,,,,,,,
akd_0255,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0255_518_last4avg.jpg,4,0.8913690476190477,1.0,22,0.7746906170896773,,,,,,,,
akd_0266,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0266_518_last4avg.jpg,2,0.7083333333333333,1.0,22,0.8101200963119568,,,,,,,,
akd_0278,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0278_518_last4avg.jpg,4,0.7718253968253969,1.0,16,0.7695303235039079,,,,,,,,
akd_0282,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0282_518_last4avg.jpg,4,0.5074404761904762,1.0,29,0.8718744045492646,,,,,,,,
akd_0291,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0291_518_last4avg.jpg,2,0.9125,0.5,23,0.8228543128046198,,,,,,,,
akd_0326,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0326_518_last4avg.jpg,3,0.76875,0.6666666666666666,30,0.5625,,,,,,,,
akd_0331,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0331_518_last4avg.jpg,3,0.769047619047619,0.6666666666666666,19,0.6715260300786616,,,,,,,,
akd_0365,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0365_518_last4avg.jpg,3,0.5848214285714286,1.0,26,0.6802625090440217,,,,,,,,
akd_0384,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0384_518_last4avg.jpg,4,0.5982142857142857,1.0,16,0.7258671863935022,,,,,,,,
akd_0386,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0386_518_last4avg.jpg,2,0.7333333333333334,1.0,21,0.7332185146080064,,,,,,,,
akd_0396,D:\kp\adaptive_keypoint_discovery_reboot\experiment\outputs_g1\pilot\visualizations\akd_0396_518_last4avg.jpg,4,0.7440476190476191,1.0,26,0.7589451120673079,,,,,,,,
